Id,CourseName,CategoryId,SubCategoryId,Duration,Campus,MaxBacklogsAllowed,AppFeeWaiverAvailable,ApplicationFee,TutionFee,ApplicationFeeAmt,WithoutEnglishProficiency,WithoutMaths,IsStemCourse,ScholarshipAvailable,InternshipAvailable,ScholarshipDeatil,UniversityId,universityName,universityCity,universityState,Currency,USNewsRanking,QSRanking,PteScore,PteNoSectionLessThan,IeltsOverall,IeltsNoBandLessThan,Remarks,TuitionFeeAUD,EntryRequirementTwelfthOutOf100,EntryRequirementTwelfthOutOf45,EntryRequirementTwelfthOutOf10,EntryRequirementTwelfthOutOf7,EntryRequirementTwelfthOutOf5,EntryRequirementTwelfthOutOf4,ToeflRequired,PteRequired,DisplayIntakes,CBSE_RequiredScore
88497,Bachelor of Advanced Science (Honours) and Bachelor of Arts,"17, 3","216, 210",60,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,"Prerequisites : For Advanced Science (Hons) component: Mathematics Advanced or Mathematics Extension 1 (depending on chosen area of study) plus one or more of Biology, Chemistry, Earth and Environmental Science, Physics. For Arts component: None",52000,80,33,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",82
88498,Bachelor of Advanced Science (Honours) and Bachelor of Engineering (Honours),"17, 7","216, 67",72,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,"Prerequisites : For Advanced Science (Hons) component: Mathematics Advanced or Mathematics Extension 1 (depending on chosen area of study) plus one or more of Biology, Chemistry, Earth and Environmental Science, Physics. For Engineering component: Refer to the relevant Engineering degree entry",58500,80,33,8,5.6,4,3.2,0,1,"['Feb', 'Sep']",82
88499,Bachelor of Advanced Science (Honours) and Bachelor of Fine Arts,"17, 3","216, 20",60,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,"Prerequisites : Mathematics Advanced or Mathematics Extension 1 (depending on chosen area of study) plus one or more of Biology, Chemistry, Earth and Environmental Science, Physics.",57000,80,33,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",82
88500,Bachelor of Advanced Science (Honours) and Bachelor of Law,"17, 12","216, 129",72,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,"Prerequisites : Chemistry, Mathematics Advanced or Mathematics Extension 1 (depending on your chosen area of study in the Bachelor of Science). Plus, one or more Biology, Earth and Environmental Science or Physics.",54500,85,36,8.5,5.95,4.25,3.4,0,1,['Feb'],86
88501,Bachelor of Advanced Science (Honours) and Bachelor of Science (Computer Science),"17, 5","216, 32",60,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,"Prerequisites : For Advanced Science (Hons) component: Mathematics Advanced or Mathematics Extension 1 (depending on chosen area of study) plus one or more of Biology, Chemistry, Earth and Environmental Science, Physics. For Computer Science: Mathematics Extension 1",58500,80,33,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",82
194891,Bachelor of Advanced Science (Honours)/Social Sciences,"17, 19",185216,60,Sydney,0,0,AUD 150,,150,0,1,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,"Prerequisites : Mathematics Advanced or Mathematics Extension 1 (depending on chosen area of study) plus one or more of Biology, Chemistry, Earth and Environmental Science, Physics.",57000,80,33,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",82
88503,Bachelor of Architectural Studies,2,8,36,Sydney,0,0,AUD 150,,150,0,1,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,Official Marksheet and if CBSE Board -Admit card is mandatory.,49500,85,32,8.5,5.95,4.25,3.4,0,1,"['Feb', 'Sep']",15.5
88508,Bachelor of Arts,3,210,36,Sydney,0,0,AUD 150,,150,0,1,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,"Official Marksheet and if CBSE Board -Admit card is mandatory._x000D_
The cross-disciplinary AI in Business and Society major is available in the Bachelor of Commerce, Bachelor of Economics, Bachelor of Actuarial Studies, Bachelor of Arts and Bachelor of Social Sciences, and is a new specialisation in the Master of Commerce and Master of Commerce (Extension).",49000,80,27,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",12.5
88512,Bachelor of Arts/Bachelor of Laws,"3, 12","210, 129",60,Sydney,0,0,AUD 150,,150,0,1,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,Not specified,49000,85,36,8.5,5.95,4.25,3.4,0,1,['Feb'],86
88511,Bachelor of Arts/Education (Secondary),"3, 5","210, 52",48,Sydney,0,0,AUD 150,,150,0,1,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,58,7,6.5,For Bachelor of Education (Secondary) any Band 5 or higher in any 2 units of English,46500,80,27,8,5.6,4,3.2,0,1,"['Feb', 'Sep']",12.5
88513,Bachelor of Aviation (Flying),"7, 16","55, 58, 197",36,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,Prerequisites : Mathematics,58500,80,27,8,5.6,4,3.2,0,1,['Feb'],12.5
88514,Bachelor of Aviation (Management),"7, 16, 4","55, 58, 197, 28",36,Sydney,0,0,AUD 150,,150,0,0,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,Prerequisites : Mathematics,57000,80,27,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",12.5
88515,Bachelor of Biotechnology (Honours),13,135,48,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,"Prerequisites : Chemistry, Mathematics Advanced",57500,80,27,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",12.5
88516,Bachelor of City Planning (Honours),2,13,48,Sydney,0,0,AUD 150,,150,0,1,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,Official Marksheet and if CBSE Board -Admit card is mandatory.,48500,81,27,8.1,5.67,4.05,3.24,0,1,['Feb'],12.5
88517,Bachelor of City Planning (Honours) and Bachelor of Laws,"2, 12",13129,80,Sydney,0,0,AUD 150,,150,0,1,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,Official Marksheet and if CBSE Board -Admit card is mandatory.,50000,92,36,9.2,6.44,4.6,3.68,0,1,['Feb'],18
88518,Bachelor of Commerce,4,211,36,Sydney,0,0,AUD 150,,150,0,0,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,"Prerequisites: Mathematics_x000D_
The cross-disciplinary AI in Business and Society major is available in the Bachelor of Commerce, Bachelor of Economics, Bachelor of Actuarial Studies, Bachelor of Arts and Bachelor of Social Sciences, and is a new specialisation in the Master of Commerce and Master of Commerce (Extension).",54000,80,34,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",83
88522,Bachelor of Commerce/Aviation (Management),"7, 16, 4","55, 58, 197, 28, 211",48,Sydney,0,0,AUD 150,,150,0,0,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,Prerequisites : Mathematics,55500,80,34,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",83
88521,Bachelor of Commerce/Bachelor of Arts,"4, 3","211, 210",48,Sydney,0,0,AUD 150,,150,0,1,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,Not specified,53000,80,34,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",83
88523,Bachelor of Commerce/Bachelor of Computer Science,"4, 5","211, 32",48,Sydney,0,0,AUD 150,,150,0,1,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,7,6,Not specified,56500,80,34,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",83
88524,Bachelor of Commerce/Bachelor of Design,"4, 3","211,18",48,Sydney,0,0,AUD 150,,150,0,1,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,Prerequisites : Mathematics,50500,80,34,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",83
88525,Bachelor of Commerce/Bachelor of Economics,"4, 19","211, 26, 179",48,Sydney,0,0,AUD 150,,150,0,1,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,7,6,Prerequisites : Mathematics,54000,80,34,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",83
88527,Bachelor of Commerce/Bachelor of Fine Arts,"4, 3","211,20",48,Sydney,0,0,AUD 150,,150,0,0,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,Prerequisites : Mathematics,50000,80,34,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",83
88528,Bachelor of Commerce/Bachelor of Information Systems,4,"211, 198",48,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,Prerequisites : Mathematics,54000,80,34,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",83
88529,Bachelor of Commerce/Bachelor of Law,"4, 12","211, 129",60,Sydney,0,0,AUD 150,,150,0,0,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,Prerequisites : Mathematics,54000,85,36,8.5,5.95,4.25,3.4,0,1,"['Feb', 'Sep']",86
88530,Bachelor of Commerce/Bachelor of Science,"4, 17","211, 216",48,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,Prerequisites : Mathematics,55500,80,34,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",83
88526,Bachelor of Commerce/Education (Secondary),"4, 6","211, 52",48,Sydney,0,0,AUD 150,,150,0,1,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,58,7,6.5,For Bachelor of Education (Secondary) any Band 5 or higher in any 2 units of English,52000,80,34,8,5.6,4,3.2,0,1,"['Feb', 'Sep']",83
88519,Bachelor of Commerce (International),4,211,48,Sydney,0,0,AUD 150,,150,0,0,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,Prerequisites : Mathematics,54000,85,35,8.5,5.95,4.25,3.4,0,1,"['Feb', 'May', 'Sep']",85
194903,Bachelor of Commerce / Media,"4, 11",211125,48,Sydney,0,0,AUD 150,,150,0,0,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,Prerequisites : Mathematics,51500,80,34,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",83
88532,Bachelor of Construction Management and Property,"2, 4","9,10,30",36,Sydney,0,0,AUD 150,,150,0,1,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,Official Marksheet and if CBSE Board -Admit card is mandatory.,48500,70,27,7,4.9,3.5,2.8,0,1,"['Feb', 'Sep']",71
88533,Bachelor of Criminology and Criminal Justice,"12, 18","202, 171",36,Sydney,0,0,AUD 150,,150,0,1,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,Official Marksheet and if CBSE Board -Admit card is mandatory.,48000,70,27,7,4.9,3.5,2.8,0,1,"['Feb', 'May', 'Sep']",71
88534,Bachelor of Criminology and Criminal Justice/Bachelor of Law,"12, 18","202, 171, 129",60,Sydney,0,0,AUD 150,,150,0,1,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,Official Marksheet and if CBSE Board -Admit card is mandatory.,48000,85,34,8.5,5.95,4.25,3.4,0,1,['Feb'],86
221021,Bachelor of Cyber Security (Sydney),5,45,36,Kensington (Sydney),0,0,AUD 150.00,AUD 60000/Year,150,0,0,0,0,0,,782,"University of New South Wales, Sydney",Sydney,New South Wales,AUD ,34,20,64,54,6.5,6,"For more information, please visit the university website.",60000,65,,6.5,,,,0,1,['Feb'],
88535,Bachelor of Data Science and Decisions,5,37,36,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,6.5,6,Prerequisites : Mathematics,56500,75,32,7.5,5.25,3.75,3,0,1,"['Feb', 'May', 'Sep']",79
88536,Bachelor of Data Science and Decisions/Bachelor of Laws,"5, 12","37, 129",68,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,Prerequisites : Mathematics,54000,85,34,8.5,5.95,4.25,3.4,0,1,['Feb'],86
88538,Bachelor of Design/Bachelor of Education (Secondary),"3, 6","18, 48, 52",48,Sydney,0,0,AUD 150,,150,0,1,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,58,7,6.5,Prerequisites: For Bachelor of Education (Secondary) any Band 5 or higher in any 2 units of English,46000,70,27,7,4.9,3.5,2.8,0,1,"['Feb', 'Sep']",71
194914,Bachelor of Design  Major Computational Design,3,18,36,Sydney,0,0,AUD 150,,150,0,1,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,Official Marksheet and if CBSE Board -Admit card is mandatory.,46500,70,27,7,4.9,3.5,2.8,0,1,"['Feb', 'May', 'Sep']",71
194913,Bachelor of Design  Major Industrial Design,3,18,36,Sydney,0,0,AUD 150,,150,0,1,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,Official Marksheet and if CBSE Board -Admit card is mandatory.,46500,70,27,7,4.9,3.5,2.8,0,1,"['Feb', 'May', 'Sep']",71
194912,Bachelor of Design  Major Integrated Design,3,18,36,Sydney,0,0,AUD 150,,150,0,1,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,Official Marksheet and if CBSE Board -Admit card is mandatory.,46500,70,27,7,4.9,3.5,2.8,0,1,"['Feb', 'May', 'Sep']",71
194916,Bachelor of Design / Media,"3, 11",18125,48,Sydney,0,0,AUD 150,,150,0,1,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,Official Marksheet and if CBSE Board -Admit card is mandatory.,45500,70,27,7,4.9,3.5,2.8,0,1,"['Feb', 'May', 'Sep']",71
88539,Bachelor of Economics,"4, 19","26, 179",36,Sydney,0,0,AUD 150,,150,0,0,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,"Prerequisites: Mathematics_x000D_
The cross-disciplinary AI in Business and Society major is available in the Bachelor of Commerce, Bachelor of Economics, Bachelor of Actuarial Studies, Bachelor of Arts and Bachelor of Social Sciences, and is a new specialisation in the Master of Commerce and Master of Commerce (Extension).",54000,80,32,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",80
88540,Bachelor of Economics/Advanced Science (Honours),"4, 19, 17","26, 179, 216",60,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,"Prerequisites : Mathematics Advanced. For Bachelor of Science (Advanced Mathematics) (Hons): Mathematics Extension 1. For Bachelor of Advanced Science (Hons): Chemistry and one or more Biology, Earth and Environmental Science, Physics, Mathematics Extension 1 (depending on chosen area of study)",54000,80,33,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",82
88541,Bachelor of Economics/Bachelor of Arts,"4, 19, 3","26, 179, 210",48,Sydney,0,0,AUD 150,,150,0,0,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,Prerequisites : Mathematics,54000,80,32,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",80
88543,Bachelor of Economics/Bachelor of Laws,"4, 19, 12","26, 179, 129",60,Sydney,0,0,AUD 150,,150,0,0,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,Prerequisites : Mathematics,53500,85,36,8.5,5.95,4.25,3.4,0,1,"['Feb', 'Sep']",86
88544,Bachelor of Economics/Bachelor of Science,"4, 19, 17","26, 179, 216",48,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,"Prerequisites : Mathematics Advanced and Chemistry plus one or more of Biology, Earth & Environmental Science, Physics or Mathematics Extension 1 (depending on chosen area of study).",55000,80,32,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",80
88545,"Bachelor of Economics, Bachelor of Science (Advanced Mathematics)(Honours)","4, 19, 17, 15","26, 179, 216, 153",60,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,Prerequisites : Mathematics,56500,80,33,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",82
88542,Bachelor of Economics/Education (Secondary),"4, 19, 6","26, 179, 52",48,Sydney,0,0,AUD 150,,150,0,0,0,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,58,7,6.5,"Prerequisites : B Economics: Mathematics (Advanced).
For Bachelor of Education (Secondary) any Band 5 or higher in any 2 units of English",51500,80,32,8,5.6,4,3.2,0,1,"['Feb', 'Sep']",80
179342,Bachelor of Education (Primary) (Honours),6,"48, 52",48,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,73,65,7.5,7,"A minimum of three Band 5 HSC results (including one in English), and a Mathematics Band 4 HSC result.

Please note, this program is structured to include Foundational English and Foundational Mathematics courses in the first year to allow applicants to meet the three Band 5 and Mathematics Band 4 NESA requirements. ",49500,70,27,7,4.9,3.5,2.8,0,1,['Feb'],71
88546,Bachelor of Engineering (Civil Engineering with Architecture) (Honours),"7, 2","61, 8",48,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,"Prerequisites : Mathematics Extension 1, Physics",55500,80,34,8,5.6,4,3.2,0,1,['Feb'],83
88547,Bachelor of Engineering (Honours),7,67,48,Kensington (Sydney),0,0,AUD 150,"AU$ 58,500 /year",150,0,0,0,0,0,,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,"For more information, please visit the university website._x000D_
Bachelor of Engineering (Hons) now offers a new Nuclear Engineering specialisation. This cutting-edge program prepares students for careers in clean energy, advanced reactors, and nuclear safety.",58500,74,25,6,4.2,3,2.4,0,1,"['Feb', 'May', 'Sep']",
88548,Bachelor of Engineering (Honours) (Aerospace Engineering),7,55,48,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,"Prerequisites : Mathematics Extension 1, Physics",58500,80,33,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",81
88569,Bachelor of Engineering (Honours)/Bachelor of Arts,"7, 3","67, 210",68,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,Prerequisites : For Engineering component: Refer to the relevant Engineering degree entry. For Arts component: None,49000,80,33,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",81
88570,Bachelor of Engineering (Honours)/Bachelor of Commerce,"7, 4","67, 211",68,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,65,54,7,6,Prerequisites : For Commerce component: Mathematics Advanced. For Engineering component: Refer to the relevant Engineering degree entry,57000,80,34,8,5.6,4,3.2,0,1,"['Feb', 'Sep']",83
204680,Bachelor of Engineering (Honours) / Bachelor of Engineering Science,7,67,60,Sydney,0,0,AUD 150,,150,0,0,1,0,0,https://www.scholarships.unsw.edu.au/,782,"University of New South Wales, Sydney",Sydney,New South Wales,AU$ ,34,20,64,54,6.5,6,"Prequisite: Mathematics Extension 1, Physics.",58000,80,33,8,5.6,4,3.2,0,1,"['Feb', 'May', 'Sep']",81
